Gene,BaseGeneMean,OutlierFactor,GeneMean,DEFacGroup1,DEFacGroup2,true_log2_fc,sparsity,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,sparsity_category
Gene1,0.0299009378077674,1,0.0299009378077674,1.67995989322509,1.42113050753879,0.241387742466224,0.9622783855149,0.162667109688869,0.700089248803794,0.044,0.031,1,High sparsity
Gene10,0.0410649205262497,1,0.0410649205262497,0.52195014677984,1.69754293200123,-1.70146413984277,0.970954356846473,0.000269072439079073,-1.37700154598367,0.016,0.042,1,High sparsity
Gene100,0.0372007331302285,1,0.0372007331302285,0.889113362656236,2.05398243595534,-1.20798456426108,0.953979630328178,0.000825824030783876,-1.14092846690323,0.031,0.061,1,High sparsity
Gene1000,0.430974523691107,1,0.430974523691107,0.55716258650545,0.934050103557025,-0.745401555736127,0.810637495284798,4.00031064796378e-08,-0.872833393345626,0.147,0.234,0.000161732559497176,Medium sparsity
Gene1001,0.121505797426423,1,0.121505797426423,1.89875776677203,1.73892973397587,0.126856228070953,0.860052810260279,,,,,,Medium sparsity
Gene1002,0.00876836753922573,1,0.00876836753922573,1.85328465313341,0.620272451777789,1.57911053059,0.990192380233874,0.0680436542998942,1.44521919011707,0.014,0.005,1,High sparsity
Gene1003,0.158442320668692,1,0.158442320668692,0.889363883356664,0.623278586085846,0.512896671636459,0.910222557525462,0.601490825648055,0.256850136814206,0.095,0.085,1,High sparsity
Gene1004,0.382441988436511,12.3384715648024,2.24838030563903,1.50210952537875,0.455256512067623,1.72223845087521,0.377216144851,1.00155425856278e-121,1.63885995030557,0.801,0.438,4.0492838673693e-118,Low sparsity
Gene1005,0.153678048857593,1,0.153678048857593,1.38731745314579,0.463844916484321,1.58058351494149,0.898906073179932,1.5693744652108e-13,1.34662913354553,0.144,0.056,6.34498096284725e-10,Medium sparsity
Gene1006,0.0944538360859736,1,0.0944538360859736,1.91195183293389,0.627068983931246,1.60835011059764,0.915503583553376,8.89389843844703e-12,1.18592709303451,0.121,0.046,3.59580313866413e-08,High sparsity
Gene1007,0.612863154497986,27.4407426828042,5.00039450559883,0.469477097148744,1.41234323510008,-1.58896405793515,0.163711806865334,3.69872535254935e-203,-1.56366820931725,0.719,0.958,1.4953946600357e-199,Low sparsity
Gene1008,0.302966297079732,1,0.302966297079732,0.704480022534796,0.553599669358276,0.347715714222128,0.886080724254998,0.475739340459288,0.282284212218761,0.118,0.11,1,Medium sparsity
Gene1009,0.0548400793887769,1,0.0548400793887769,0.44867077538394,0.866212851795554,-0.949064361788083,0.975480950584685,0.0706190463320099,-0.773638723526204,0.018,0.032,1,High sparsity
Gene101,0.317420410388699,1,0.317420410388699,2.26238832871006,2.08148071939167,0.120236387694152,0.661637118068653,0.113214633330344,0.121216121953772,0.357,0.319,1,Low sparsity
Gene1010,0.0303489398635771,1,0.0303489398635771,0.559117392878931,1.53674647377419,-1.45865604489792,0.979630328178046,0.00108533016634812,-1.08401231196733,0.011,0.03,1,High sparsity
Gene1011,0.380068520833308,1,0.380068520833308,1.95967071801986,1.94168882397029,0.0132992475069504,0.60015088645794,,,,,,Low sparsity
Gene1012,0.533572777363416,1,0.533572777363416,0.704396628190723,0.585637810407999,0.266379302247309,0.787250094304036,0.555971438849017,0.185804624989028,0.22,0.205,1,Medium sparsity
Gene1013,0.19756676130382,1,0.19756676130382,1.15255957932673,2.05688921254147,-0.835622760114323,0.816295737457563,7.01753974365333e-09,-0.932410628261209,0.143,0.226,2.83719131835904e-05,Medium sparsity
Gene1014,0.0981553227563989,1,0.0981553227563989,1.70952192046362,0.663068840042306,1.36636235760995,0.915503583553376,3.6063833752473e-12,1.57107978232341,0.122,0.045,1.45806079861248e-08,High sparsity
Gene1015,0.437452966363483,1,0.437452966363483,0.594124262680981,0.488543218295439,0.282278512271179,0.86797434930215,0.445028386533226,0.172618207553801,0.14,0.124,1,Medium sparsity
Gene1016,0.353440620234207,1,0.353440620234207,1.80269504347182,0.488008976587923,1.88517577048319,0.775556393813655,1.02473820422562e-49,2.00311235339928,0.34,0.105,4.14301655968419e-46,Medium sparsity
Gene1017,1.27951880894043,1,1.27951880894043,0.77216855245269,0.873534961828576,-0.177949645956721,0.488494907582045,0.150669349663286,-0.147247644470375,0.509,0.514,1,Low sparsity
Gene1018,0.0740514610789357,1,0.0740514610789357,1.75886767811694,0.538779451760872,1.70688021634448,0.936250471520181,1.3098783772143e-13,1.89650757469673,0.099,0.028,5.29583827907743e-10,High sparsity
Gene1019,0.402001754614844,1,0.402001754614844,1.63714751488496,1.40730604677383,0.218248215937634,0.669935873255375,,,,,,Low sparsity
Gene102,0.156681752723999,1,0.156681752723999,1.72141623884149,0.574897062998779,1.58222041802707,0.877027536778574,9.38172637822855e-16,1.32858033063211,0.174,0.07,3.7930319747178e-12,Medium sparsity
Gene1020,0.561696731863237,1,0.561696731863237,0.722725871204005,1.46874752765554,-1.02306597912769,0.721614485099962,2.49489466813982e-21,-1.12662966039763,0.202,0.357,1.00868591432893e-17,Medium sparsity
Gene1021,0.0344981265598984,25.7705808682313,4.69604895425614,1.78178543444275,1.64673394456533,0.113716131480028,0.030554507732931,1.24589094396446e-05,0.157520868517021,0.968,0.971,0.0503713708644832,Low sparsity
Gene1022,0.0755365578606194,1,0.0755365578606194,1.38995101387207,2.29226051840385,-0.721736978734013,0.904187099207846,0.00224717936194879,-0.689875251579883,0.076,0.116,1,High sparsity
Gene1023,0.186525820432493,1,0.186525820432493,2.06246454963509,0.751027048660656,1.45743254876314,0.818181818181818,3.02159405073145e-27,1.56220758925014,0.261,0.1,1.22163047471073e-23,Medium sparsity
Gene1024,0.16708842865495,1,0.16708842865495,1.54726558961904,2.35077800348968,-0.603417446005292,0.798943794794417,0.0163596878348588,-0.357578483399116,0.179,0.224,1,Medium sparsity
Gene1025,0.281127832202157,1,0.281127832202157,0.653398015624221,0.630430879804427,0.0516238706015884,0.893247831007167,,,,,,Medium sparsity
Gene1026,0.366156847923149,1,0.366156847923149,1.33552397481494,1.18014282632029,0.17844440316231,0.767257638626933,0.251705465871203,0.28146199152001,0.239,0.227,1,Medium sparsity
Gene1027,0.392313608221728,1,0.392313608221728,1.16816502710603,0.631067437968083,0.888378008922816,0.787627310448887,5.339009668398e-13,0.936275048242319,0.267,0.155,2.15856160893331e-09,Medium sparsity
Gene1028,0.275882360126332,1,0.275882360126332,1.26857902933299,0.735163731035098,0.787075899732751,0.806110901546586,5.73861250512788e-07,0.631737712868609,0.234,0.152,0.0023201210358232,Medium sparsity
